name,latitude,longitude,rating,userRatingCount,priceLevel,types,formattedAddress,businessStatus,currentOpeningHours,servesCoffee,servesDessert,servesBreakfast,liveMusic,takeout,delivery,dineIn,paymentOptions,parkingOptions,accessibilityOptions
McDonald's,40.5795745,-73.9750772,3.6,3136,1,fast_food_restaurant;sandwich_shop;hamburger_restaurant;breakfast_restaurant;coffee_shop;cafe;american_restaurant;store;restaurant;point_of_interest;food;establishment,"606 Neptune Ave, Brooklyn, NY 11224, USA",OPERATIONAL,"{'openNow': True, 'periods': [{'open': {'day': 1, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 10, 'day': 21}}, 'close': {'day': 0, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 10, 'day': 27}}}], 'weekdayDescriptions': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}",True,True,True,False,True,True,True,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}","{'freeParkingLot': True, 'freeStreetParking': True, 'valetParking': False}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}"
McDonald's,40.577146299999995,-73.98181500000001,3.5,1868,1,fast_food_restaurant;sandwich_shop;hamburger_restaurant;breakfast_restaurant;coffee_shop;cafe;american_restaurant;store;restaurant;point_of_interest;food;establishment,"1403 Mermaid Ave, Brooklyn, NY 11224, USA",OPERATIONAL,"{'openNow': True, 'periods': [{'open': {'day': 1, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 10, 'day': 21}}, 'close': {'day': 0, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 10, 'day': 27}}}], 'weekdayDescriptions': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}",True,True,True,False,True,True,True,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}","{'paidParkingLot': False, 'paidStreetParking': True, 'valetParking': False}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}"
Starbucks,40.581286999999996,-73.98542979999999,4.1,1062,2,coffee_shop;breakfast_restaurant;cafe;store;restaurant;point_of_interest;food;establishment,"3035 Cropsey Ave, Brooklyn, NY 11224, USA",OPERATIONAL,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 6, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 27}}, 'close': {'day': 0, 'hour': 21, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 27}}}, {'open': {'day': 1, 'hour': 6, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 21}}, 'close': {'day': 1, 'hour': 21, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 21}}}, {'open': {'day': 2, 'hour': 6, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 22}}, 'close': {'day': 2, 'hour': 21, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 22}}}, {'open': {'day': 3, 'hour': 6, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 23}}, 'close': {'day': 3, 'hour': 21, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 23}}}, {'open': {'day': 4, 'hour': 6, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 24}}, 'close': {'day': 4, 'hour': 21, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 24}}}, {'open': {'day': 5, 'hour': 6, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 25}}, 'close': {'day': 5, 'hour': 21, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 25}}}, {'open': {'day': 6, 'hour': 6, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 26}}, 'close': {'day': 6, 'hour': 21, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 26}}}], 'weekdayDescriptions': ['Monday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u20099:00\u202fPM']}",True,True,True,False,True,False,True,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}","{'freeParkingLot': True, 'freeStreetParking': True}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': False}"
Starbucks,40.57562,-73.97748,3.9,331,2,coffee_shop;breakfast_restaurant;cafe;store;restaurant;point_of_interest;food;establishment,"825 Surf Ave, Brooklyn, NY 11224, USA",OPERATIONAL,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 6, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 27}}, 'close': {'day': 0, 'hour': 20, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 27}}}, {'open': {'day': 1, 'hour': 5, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 21}}, 'close': {'day': 1, 'hour': 20, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 21}}}, {'open': {'day': 2, 'hour': 5, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 22}}, 'close': {'day': 2, 'hour': 20, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 22}}}, {'open': {'day': 3, 'hour': 5, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 23}}, 'close': {'day': 3, 'hour': 20, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 23}}}, {'open': {'day': 4, 'hour': 5, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 24}}, 'close': {'day': 4, 'hour': 20, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 24}}}, {'open': {'day': 5, 'hour': 5, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 25}}, 'close': {'day': 5, 'hour': 20, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 25}}}, {'open': {'day': 6, 'hour': 6, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 26}}, 'close': {'day': 6, 'hour': 20, 'minute': 30, 'date': {'year': 2024, 'month': 10, 'day': 26}}}], 'weekdayDescriptions': ['Monday: 5:30\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 5:30\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 5:30\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 5:30\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 5:30\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u20098:30\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u20098:30\u202fPM']}",True,True,True,False,True,True,True,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",{'freeStreetParking': True},"{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}"
PEP Bakehouse and Coffee Shop,40.576088899999995,-73.9715823,4.3,138,0,coffee_shop;bakery;cafe;store;point_of_interest;food;establishment,"225 Sea Breeze Ave, Brooklyn, NY 11224, USA",OPERATIONAL,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 9, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 27}}, 'close': {'day': 0, 'hour': 19, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 27}}}, {'open': {'day': 1, 'hour': 7, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 21}}, 'close': {'day': 1, 'hour': 20, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 21}}}, {'open': {'day': 2, 'hour': 7, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 22}}, 'close': {'day': 2, 'hour': 20, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 22}}}, {'open': {'day': 3, 'hour': 7, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 23}}, 'close': {'day': 3, 'hour': 20, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 23}}}, {'open': {'day': 4, 'hour': 7, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 24}}, 'close': {'day': 4, 'hour': 20, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 24}}}, {'open': {'day': 5, 'hour': 7, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 25}}, 'close': {'day': 5, 'hour': 20, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 25}}}, {'open': {'day': 6, 'hour': 8, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 26}}, 'close': {'day': 6, 'hour': 20, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 26}}}], 'weekdayDescriptions': ['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20097:00\u202fPM']}",True,True,True,False,True,False,True,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",{'valetParking': False},{'wheelchairAccessibleEntrance': True}
Dunkin',40.575850599999995,-73.9810514,3.8,531,1,coffee_shop;fast_food_restaurant;bakery;breakfast_restaurant;cafe;meal_takeaway;store;restaurant;point_of_interest;food;establishment,"1243 Surf Ave, Coney Island, Stillwell Ave, Brooklyn, NY 11224, USA",OPERATIONAL,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 5, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 27}}, 'close': {'day': 0, 'hour': 22, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 27}}}, {'open': {'day': 1, 'hour': 5, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 21}}, 'close': {'day': 1, 'hour': 22, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 21}}}, {'open': {'day': 2, 'hour': 5, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 22}}, 'close': {'day': 2, 'hour': 22, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 22}}}, {'open': {'day': 3, 'hour': 5, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 23}}, 'close': {'day': 3, 'hour': 22, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 23}}}, {'open': {'day': 4, 'hour': 5, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 24}}, 'close': {'day': 4, 'hour': 22, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 24}}}, {'open': {'day': 5, 'hour': 5, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 25}}, 'close': {'day': 5, 'hour': 22, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 25}}}, {'open': {'day': 6, 'hour': 5, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 26}}, 'close': {'day': 6, 'hour': 22, 'minute': 0, 'date': {'year': 2024, 'month': 10, 'day': 26}}}], 'weekdayDescriptions': ['Monday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 5:00\u202fAM\u2009–\u200910:00\u202fPM']}",True,True,True,False,True,True,False,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",{},{'wheelchairAccessibleEntrance': True}
